Sum of Sales,Order Date,forecastValue,confidenceHighBound,confidenceLowBound
4007.548,2018-11-10 00:00:00,,,
1815.218,2018-11-11 00:00:00,,,
2911.386,2018-11-12 00:00:00,,,
6633.4202,2018-11-13 00:00:00,,,
834.658,2018-11-14 00:00:00,,,
559.2,2018-11-15 00:00:00,,,
4755.234,2018-11-16 00:00:00,,,
13408.7928,2018-11-17 00:00:00,,,
1469.756,2018-11-18 00:00:00,,,
7397.272,2018-11-19 00:00:00,,,
2988.274,2018-11-20 00:00:00,,,
2236.184,2018-11-21 00:00:00,,,
35.712,2018-11-22 00:00:00,,,
1153.109,2018-11-23 00:00:00,,,
4736.061,2018-11-24 00:00:00,,,
3666.157,2018-11-25 00:00:00,,,
5048.172,2018-11-26 00:00:00,,,
1618.254,2018-11-27 00:00:00,,,
6912.944,2018-11-28 00:00:00,,,
491.888,2018-11-29 00:00:00,,,
6645.282,2018-11-30 00:00:00,,,
5331.178,2018-12-01 00:00:00,,,
9951.182,2018-12-02 00:00:00,,,
1403.842,2018-12-03 00:00:00,,,
2639.638,2018-12-04 00:00:00,,,
1453.136,2018-12-05 00:00:00,,,
10.68,2018-12-06 00:00:00,,,
2916.514,2018-12-07 00:00:00,,,
7643.041,2018-12-08 00:00:00,,,
5470.39,2018-12-09 00:00:00,,,
3873.559,2018-12-10 00:00:00,,,
2025.035,2018-12-11 00:00:00,,,
580.936,2018-12-13 00:00:00,,,
3897.714,2018-12-14 00:00:00,,,
306.888,2018-12-15 00:00:00,,,
858.702,2018-12-16 00:00:00,,,
2027.758,2018-12-17 00:00:00,,,
3645.911,2018-12-18 00:00:00,,,
1895.926,2018-12-19 00:00:00,,,
377.736,2018-12-20 00:00:00,,,
2140.94,2018-12-21 00:00:00,,,
7442.021,2018-12-22 00:00:00,,,
1926.776,2018-12-23 00:00:00,,,
6233.054,2018-12-24 00:00:00,,,
2698.927,2018-12-25 00:00:00,,,
814.594,2018-12-26 00:00:00,,,
177.636,2018-12-27 00:00:00,,,
1657.3508,2018-12-28 00:00:00,,,
2915.534,2018-12-29 00:00:00,,,
713.79,2018-12-30 00:00:00,713.79,713.79,713.79
,2018-12-31 00:00:00,2271.679183547889,7297.064533103392,'-2753.7061660076142
,2019-01-01 00:00:00,1006.6955555030506,6187.965335629464,'-4174.574224623362
,2019-01-02 00:00:00,296.1273804002303,5628.726667556103,'-5036.4719067556425
,2019-01-03 00:00:00,'-2543.377961457117,2936.3732902238794,'-8023.129213138114
,2019-01-04 00:00:00,1388.3617612752137,7011.415415938625,'-4234.691893388199
,2019-01-05 00:00:00,5029.960966860779,10792.754649281458,'-732.832715559899
,2019-01-06 00:00:00,2238.089421995233,8137.313917560035,'-3661.13507356957
,2019-01-07 00:00:00,2271.679183547889,8305.302579521936,'-3761.9442124261595
,2019-01-08 00:00:00,1006.6955555030506,7170.758331576111,'-5157.3672205700095
,2019-01-09 00:00:00,296.1273804002303,6587.9258935674825,'-5995.671132767022
,2019-01-10 00:00:00,'-2543.377961457117,3873.614102837319,'-8960.370025751554
,2019-01-11 00:00:00,1388.3617612752137,7928.1511903120445,'-5151.427667761618
,2019-01-12 00:00:00,5029.960966860779,11690.284112104258,'-1630.3621783827011
,2019-01-13 00:00:00,2238.089421995233,9016.803387194688,'-4540.6245432042215
,2019-01-14 00:00:00,2271.679183547889,9167.67256067375,'-4624.314193577972
,2019-01-15 00:00:00,1006.6955555030506,8017.100913275729,'-6003.709802269627
,2019-01-16 00:00:00,296.1273804002303,7419.107227571776,'-6826.852466771315
,2019-01-17 00:00:00,'-2543.377961457117,4690.424671054783,'-9777.180593969017
,2019-01-18 00:00:00,1388.3617612752137,8731.314787753063,'-5954.591265202636
,2019-01-19 00:00:00,5029.960966860779,12480.465498232083,'-2420.5435645105244
,2019-01-20 00:00:00,2238.089421995233,9794.614840129445,'-5318.43599613898
,2019-01-21 00:00:00,2271.679183547889,9933.587433473756,'-5390.229066377978
,2019-01-22 00:00:00,1006.6955555030506,8771.738804140252,'-6758.34769313415
,2019-01-23 00:00:00,296.1273804002303,8162.953632207899,'-7570.698871407439
,2019-01-24 00:00:00,'-2543.377961457117,5423.931113698336,'-10510.68703661257
,2019-01-25 00:00:00,1388.3617612752137,9454.902068121672,'-6678.178545571243
,2019-01-26 00:00:00,5029.960966860779,13194.52654899083,'-3134.6046152692734
,2019-01-27 00:00:00,2238.089421995233,10499.517250635194,'-6023.338406644727
