Year,Quarter,Month,Day,Category,Sum of Sales
2015,Qtr 1,January,3,Office Supplies,16.448
2015,Qtr 1,January,4,Office Supplies,288.06
2015,Qtr 1,January,5,Office Supplies,19.536
2015,Qtr 1,January,6,Furniture,2573.82
2015,Qtr 1,January,6,Office Supplies,685.34
2015,Qtr 1,January,6,Technology,1147.94
2015,Qtr 1,January,7,Furniture,76.728
2015,Qtr 1,January,7,Office Supplies,10.43
2015,Qtr 1,January,9,Office Supplies,9.344
2015,Qtr 1,January,9,Technology,31.2
2015,Qtr 1,January,10,Furniture,51.94
2015,Qtr 1,January,10,Office Supplies,2.89
2015,Qtr 1,January,11,Furniture,9.94
2015,Qtr 1,January,13,Furniture,879.939
2015,Qtr 1,January,13,Office Supplies,2027.116
2015,Qtr 1,January,13,Technology,646.74
2015,Qtr 1,January,14,Furniture,61.96
2015,Qtr 1,January,15,Technology,149.95
2015,Qtr 1,January,16,Furniture,127.104
2015,Qtr 1,January,16,Office Supplies,48.66
2015,Qtr 1,January,16,Technology,124.2
2015,Qtr 1,January,18,Office Supplies,64.864
2015,Qtr 1,January,19,Furniture,181.47
2015,Qtr 1,January,19,Office Supplies,197.124
2015,Qtr 1,January,20,Furniture,1413.51
2015,Qtr 1,January,20,Office Supplies,560.43
2015,Qtr 1,January,20,Technology,699.93
2015,Qtr 1,January,23,Office Supplies,40.08
2015,Qtr 1,January,26,Furniture,217.2
2015,Qtr 1,January,26,Office Supplies,536.72
2015,Qtr 1,January,26,Technology,343.33
2015,Qtr 1,January,27,Furniture,333
2015,Qtr 1,January,27,Office Supplies,93.67
2015,Qtr 1,January,28,Office Supplies,3.928
2015,Qtr 1,January,30,Office Supplies,240.5
2015,Qtr 1,January,31,Furniture,290.666
2015,Qtr 1,February,1,Technology,468.9
2015,Qtr 1,February,2,Office Supplies,30.686
2015,Qtr 1,February,2,Technology,180.96
2015,Qtr 1,February,3,Office Supplies,97.112
2015,Qtr 1,February,4,Office Supplies,134.384
2015,Qtr 1,February,6,Office Supplies,23.952
2015,Qtr 1,February,6,Technology,306.56
2015,Qtr 1,February,7,Office Supplies,64.96
2015,Qtr 1,February,7,Technology,115.36
2015,Qtr 1,February,8,Furniture,14.56
2015,Qtr 1,February,11,Furniture,1650.05
2015,Qtr 1,February,11,Office Supplies,158.9
2015,Qtr 1,February,11,Technology,234.45
2015,Qtr 1,February,12,Furniture,129.568
2015,Qtr 1,February,14,Office Supplies,336.756
2015,Qtr 1,February,14,Technology,239.97
2015,Qtr 1,February,15,Office Supplies,21.36
2015,Qtr 1,February,16,Office Supplies,9.04
2015,Qtr 1,February,17,Office Supplies,54.208
2015,Qtr 1,February,18,Furniture,25.16
2015,Qtr 1,February,18,Office Supplies,12.624
2015,Qtr 1,February,20,Furniture,20.32
2015,Qtr 1,February,20,Office Supplies,12.96
2015,Qtr 1,February,20,Technology,62.31
2015,Qtr 1,February,21,Office Supplies,8.85
2015,Qtr 1,February,22,Office Supplies,19.44
2015,Qtr 1,February,23,Office Supplies,11.364
2015,Qtr 1,February,24,Office Supplies,55.672
2015,Qtr 1,February,27,Office Supplies,19.456
2015,Qtr 1,March,1,Furniture,1893.995
2015,Qtr 1,March,1,Office Supplies,303.216
2015,Qtr 1,March,1,Technology,5.94
2015,Qtr 1,March,2,Office Supplies,47.76
2015,Qtr 1,March,3,Furniture,928.802
2015,Qtr 1,March,3,Office Supplies,407.1
2015,Qtr 1,March,3,Technology,9.99
2015,Qtr 1,March,4,Office Supplies,370.452
2015,Qtr 1,March,5,Office Supplies,225.592
2015,Qtr 1,March,5,Technology,479.97
2015,Qtr 1,March,7,Furniture,966.984
2015,Qtr 1,March,7,Office Supplies,594.078
2015,Qtr 1,March,10,Office Supplies,741.956
2015,Qtr 1,March,11,Furniture,8.32
2015,Qtr 1,March,11,Office Supplies,289.064
2015,Qtr 1,March,11,Technology,620.93
2015,Qtr 1,March,14,Furniture,1139.92
2015,Qtr 1,March,14,Office Supplies,310.92
2015,Qtr 1,March,14,Technology,657.71
2015,Qtr 1,March,15,Furniture,45.696
2015,Qtr 1,March,15,Office Supplies,325.086
2015,Qtr 1,March,16,Technology,471.92
2015,Qtr 1,March,17,Furniture,3265.23
2015,Qtr 1,March,17,Office Supplies,695.128
2015,Qtr 1,March,18,Furniture,1462.45
2015,Qtr 1,March,18,Office Supplies,1904.518
2015,Qtr 1,March,18,Technology,24739.748
2015,Qtr 1,March,19,Furniture,25.008
2015,Qtr 1,March,19,Office Supplies,71.538
2015,Qtr 1,March,19,Technology,494.216
2015,Qtr 1,March,21,Furniture,251.328
2015,Qtr 1,March,21,Office Supplies,358.558
2015,Qtr 1,March,21,Technology,3499.93
2015,Qtr 1,March,22,Furniture,314.352
2015,Qtr 1,March,22,Office Supplies,149.741
2015,Qtr 1,March,23,Office Supplies,340.312
2015,Qtr 1,March,23,Technology,604.752
2015,Qtr 1,March,24,Furniture,40.48
2015,Qtr 1,March,24,Office Supplies,24.9
2015,Qtr 1,March,25,Furniture,366.786
2015,Qtr 1,March,25,Office Supplies,46.88
2015,Qtr 1,March,25,Technology,45.48
2015,Qtr 1,March,26,Office Supplies,50.046
2015,Qtr 1,March,26,Technology,95.084
2015,Qtr 1,March,28,Furniture,1184.72
2015,Qtr 1,March,28,Office Supplies,6.12
2015,Qtr 1,March,28,Technology,302.376
2015,Qtr 1,March,29,Furniture,890.841
